Neighborhood,latitude,longitude
Academy,38.6553,-90.269
Baden,38.7183,-90.2315
Benton Park,38.6001,-90.2205
Benton Park West,38.599,-90.2303
Bevo Mill,38.5845,-90.2667
Botanical Heights,38.6209,-90.2499
Boulevard Heights,38.5602,-90.2827
Carondelet,38.555,-90.256
Carr Square,38.641,-90.2045
Central West End,38.6396,-90.255
Cheltenham,38.6277,-90.282
Clayton-Tamm,38.6286°,-90.2929
Clifton Heights,38.6127,-90.2929
College Hill,38.6733,-90.211
Columbus Square,38.6733,-90.211
Compton Heights,38.6121,-90.235
DeBaliviere Place,38.65,-90.2784
Downtown,38.6266,-90.1917
Downtown West,38.6299,-90.2092
Dutchtown,38.5819,-90.2456
Ellendale,38.613,-90.3091
Fairground,38.6659,-90.2174
Forest Park Southeast,38.624,-90.259
Fountain Park,38.6553,-90.2597
Fox Park,38.6095,-90.2256
Franz Park,38.6237,-90.3066
The Gate District,38.6199,-90.2316
Grand Center,38.6449,-90.2315
Gravois Park,38.5921,-90.2386
Greater Ville,38.6645,-90.2327
Hamilton Heights,38.6671,-90.2796
The Hill,38.6184,-90.2769
Hi-Pointe,38.6303,-90.3031
Holly Hills,38.5674,-90.2608
Hyde Park,38.6602,-90.2026
JeffVanderLou,38.6502,-90.2221
Kings Oak,38.6278,-90.2702
Kingsway East,38.6658,-90.255
Kingsway West,38.6724,-90.2608
Kosciusko,38.5987,-90.2029
Lafayette Square,38.6174,-90.2139
LaSalle Park,38.6148,-90.1999
Lewis Place,38.654,-90.2514
Lindenwood Park,38.5983,-90.3085
Marine Villa,38.5892,-90.2221
Mark Twain,38.6881,-90.2421
Mark Twain/I-70 Industrial,38.6875,-90.2611
McKinley Heights,38.6095,-90.2163
Midtown,38.6329,-90.2266
Mount Pleasant,38.5762,-90.236
Near North Riverfront,38.6686,-90.1965
North Hampton,38.5976,-90.2831
North Point,38.713,-90.2503
North Riverfront,38.6996,-90.2192
O’Fallon,38.6749,-90.22
Old North St. Louis,38.6485,-90.1949
Patch,38.5451,-90.2597
Peabody Darst Webbe,38.6153,-90.206
Penrose,38.6774,-90.2403
Princeton Heights,38.5766,-90.2878
Riverview,38.7707,-90.1799
Shaw,38.6145,-90.2509
Skinker-DeBaliviere,38.65,-90.2925
Soulard,38.6052,-90.2084
South Hampton,38.5871,-90.2831
Southwest Garden,38.6082,-90.2756
St. Louis Hills,38.5818,-90.3019
St. Louis Place,38.627,-90.1994
Tiffany,38.6226,-90.2397
Tower Grove East,38.6029,-90.2362
Tower Grove South,38.5975,-90.2561
Vandeventer,38.6501,-90.2409
The Ville,38.6606,-90.2409
Visitation Park,38.6566,-90.2749
Walnut Park East,38.6971,-90.2511
Walnut Park West,38.7057,-90.2568
Wells/Goodfellow,38.6763,-90.2737
West End,38.6605,-90.2878
Wydown/Skinker,38.6414,-90.3037
